Id,Emri,OraFilluese,OraPerfundimtare
1,Turni i pare,8:00,16:00
2,Turni i dyte,16:00,23:59
3,Turni i trete,0:00,8:00
4,Turni i katert,9:30,17:30
5,Turni i peste,6:50,13:00
6,Turni i gjashte,10:00,18:30
7,Turni i shtate,07:00,15:00
8,Turni i tete,11:00,19:00
9,Turni i nente,12:30,20:30
10,Turni i dhjete,13:00,21:00
11,Turni i njembedhjete,14:00,22:00
12,Turni i dymbedhjete,15:30,23:30
13,Turni i trembedhjete,16:00,23:59
14,Turni i katermbedhjete,17:00,23:00
15,Turni i pesembedhjete,18:00,23:59
16,Turni i gjashtembedhjete,1:00,10:00
17,Turni i shtatembedhjete,20:30,23:30
18,Turni i tetembedhjete,2:00,5:00
19,Turni i nentembedhjete,0:30,06:30
20,Turni i njezet,0:00,07:00
